,positive_score,negative_score,result,predicted
3523,7,1,1,1
545,3,1,1,1
254,2,4,0,0
4050,5,6,1,0
2124,9,1,1,1
3999,2,2,0,1
1807,3,1,0,1
548,3,0,1,1
4704,2,0,1,1
1405,4,1,1,1
3043,9,3,1,1
1113,1,0,0,1
4859,4,0,1,1
4143,1,6,0,0
4862,0,0,1,1
1778,10,3,1,1
991,3,3,1,0
4194,2,0,1,1
3577,4,1,1,1
2503,1,1,1,1
1123,4,3,1,0
4926,10,4,1,1
459,2,1,0,1
3518,10,3,1,1
1867,5,2,1,1
1729,6,3,1,1
716,8,2,0,1
3582,0,0,1,1
2014,0,0,0,1
5013,7,6,0,0
648,3,0,0,1
4134,8,0,1,1
1098,6,0,1,1
2272,7,0,0,1
4578,1,1,1,1
1716,0,0,1,1
247,4,0,1,1
68,16,4,1,1
894,1,0,0,1
146,10,0,1,1
3342,3,0,1,1
2162,7,1,0,1
3220,6,8,0,0
4848,6,0,1,1
1129,10,1,1,1
3574,7,2,1,1
113,11,5,1,0
3938,7,3,0,1
3409,11,7,0,0
1394,12,2,1,1
1005,1,0,0,1
796,0,0,1,1
4014,2,1,1,1
498,3,0,1,1
1685,7,3,1,1
3721,6,5,0,0
3012,1,0,1,1
528,5,3,0,1
476,2,0,1,1
1062,6,3,0,1
4419,4,2,1,1
488,3,0,1,1
4302,2,0,1,1
2986,2,1,1,1
794,4,0,0,1
1058,2,0,1,1
4426,5,2,1,1
2578,11,15,0,0
345,8,1,1,1
3514,0,0,0,1
890,6,1,0,1
2770,17,4,0,1
1064,5,2,0,1
2858,1,0,0,1
1230,2,0,1,1
3205,4,1,1,1
3997,4,1,1,1
2440,3,0,1,1
4619,0,0,0,1
3166,4,1,1,1
1913,9,5,0,0
3646,1,0,1,1
4043,14,3,1,1
3776,2,0,1,1
2895,4,0,1,1
1639,2,1,1,1
4155,1,3,0,0
1728,4,1,1,1
1227,1,0,1,1
4565,2,2,1,1
56,5,1,1,1
1815,2,1,1,1
2378,20,13,1,0
2833,1,0,1,1
4104,3,0,1,1
2830,2,1,0,1
4772,7,1,1,1
2898,1,0,0,1
207,2,0,1,1
4706,2,0,1,1
3578,3,0,0,1
3152,3,1,0,1
408,7,0,1,1
4241,3,0,1,1
3988,2,2,1,1
3323,4,0,1,1
2048,3,1,1,1
926,7,2,1,1
1802,2,0,1,1
4271,5,2,1,1
4516,3,5,0,0
4099,4,0,1,1
3173,1,0,1,1
1920,7,2,1,1
3926,0,1,0,1
4465,8,4,1,1
701,4,1,1,1
4108,6,1,1,1
214,18,5,1,1
2012,1,0,1,1
4509,7,0,1,1
299,4,0,1,1
3739,1,0,1,1
3053,3,1,1,1
3909,10,0,1,1
3460,6,1,1,1
376,2,0,1,1
3237,4,0,1,1
3136,8,3,1,1
3361,5,3,1,1
2801,1,0,1,1
993,8,2,0,1
4239,6,4,0,0
4385,10,5,1,0
3631,4,0,0,1
2365,0,1,1,1
1812,6,2,1,1
318,4,2,1,1
1392,1,1,1,1
822,0,1,0,1
2671,0,0,1,1
188,4,0,0,1
3564,1,4,0,0
1632,7,0,0,1
2263,5,0,1,1
4554,14,5,1,1
2228,8,3,0,1
1382,5,1,1,1
557,14,3,1,1
4192,11,2,1,1
4618,0,0,1,1
693,4,1,1,1
3795,0,0,1,1
914,3,1,1,1
4963,0,0,1,1
2190,3,0,1,1
2319,5,1,1,1
3234,2,0,1,1
3318,6,0,1,1
2646,8,1,1,1
2073,3,1,1,1
3777,6,0,0,1
1426,3,0,0,1
2142,23,4,1,1
3114,5,3,0,1
