,reviews,positive_score,negative_score,result
0,"My faaave deep dish in chicago with an N of two. The crust is super buttery and less soggy more crispy than other deep dish I've tried. Pizza pie was my favorite. Pro tip, you can order take out and eat at the BYOP (bring your own pizza) bar and library across the street.  If you're traveling to chicago and can only try one deep dish spot, this is it!!",2,0,positive
1,"Finally got to try Pequod's, service was a 3 and the pizza was a 5. To my taste, it was way better  than pizza's from usual Chicago chains. I went there on a  Friday around 2pm and was super happy to not have to wait hours to get a table. Regarding the restaurant, it looks like a dark dive bar, nothing fancy. We didn't get explanation for the menu (it would have been appreciated). Basically you get to choose between 3 regular pizzas and then you can add as many toppings as you want (for an additional charge). I like they have a caramelized crust. You're going for a deep dish, so get your table before you're starving because it takes a long time to cook haha! as delicious warmed up in the oven the next day! I got a salad to wait, it was okay, it comes with a plastic cup of red vinegar and another one of olive oil, not the best one though. As far of the pizza, the ingredients were fresh, the dough was good and we got some to go! (We were so hungry we forgot to take a pic of it) I'll go back but probably to take out.",11,1,positive
2,Easily the best deep dish in Chicago!I don't have much more to add to this page but I will recommend getting extra sauce and extra cheese....it really makes a difference!,2,0,positive
3,"This style deep dish is the thick crust pan style pizza, even though it wasn't the super cheesy topped off with sauce on top that I assumed all Chicago deep dish was this is still some really good pizza.The restaurant itself is kind of a dive sports bar, lots of seating & lots of tv, a good variety of beers & appetizers to go with the pizza selection.",5,1,positive
4,"Let me preface this by saying that I just don't like deep dish pizza. I'm a NY pizza guy and after trying a few pizza places in Chicago, I have confirmed that I am not a big fan. I had higher hopes for Pequod since many sites talked about it being better because of the carmelized crust. Not really. You couldn't tell much of a difference from the crust.The overall pizza was fine but it's something that you could only have one piece and then you're left feeling heavy. Also, it's hard to tell distinct differences between pizzas when it's deep dish other than the sauce.This place is fine but probably not somewhere I would seek out the next time I'm in Chicago.",4,1,negative
5,"First time having deep dish pizza!Wonderful place -- didn't have to wait too long and the service was so nice! Gave us a great recommendation for pizza and was so friendly!We got one of the custom deep dish ones and shared among three people. We got the smallest size and we still couldn't finish it. Would definitely say its a great bargain for the price and would warn you to not underestimate their food. We also shared some wings, which I loved as well.Definitely recommend!",8,1,positive
6,I tried lou malnatis while in chicago and I preferred pequodsLou malnatis fell short for mebut pequods was greatit was only about a 10minute waitbut a 40minute wait for the pizza to come outthe sauce was so good!! and the caramelized/burnt cheese crust was greatgot a large and i only ended up being able to finish one slicetook home the leftovers but the pizza still tasted great after,2,1,positive
7,As deep dish pizza's go this one is one of the ones you have to try. Situated outside of downtown chicago it has more of a bar atmosphere than a pizza joint. Service was great as they explained everything and catered towards the table. The toppings are what make this place stand out. The tomato sauce and all the fresh toppings you can choose from. The sausage is top notch. Spicey italian with great flavor. The pizza crust has more of a biscuit like flavor and texture so it's definitely unique to the area. Very filling even for the small size pan which can easily be shared with others.Give it a try.,5,0,negative
8,"Pequod's does not have any pre-made signature pizza toppings like the other popular deep dish spots; instead, all of their pizzas are customizable. With this said, they do not allow pre-ordering your pizza while waiting for your table (probably to ensure you don't skip town, but why would you?!) When my friend and I arrived at 6:30pm on a Saturday, the placed was completely packed. There was a 90 minute wait for us, but luckily we found two stools at the bar instead.Since we knew how heavy the pizza was about to be, we started off with a house salad with italian dressing ($4.80). After over an hour later, our small size pan pizza ($11.75) finally arrived. We also added italian beef (+$2.75) and mushrooms (+$1.85) inside too. The pizza was nicely done and that first slice was delicious. All of the ingredients were stuffed into the cheese and marinera sauce being held together in a crunchy crust. As much as I wanted to finish both of my slices, I only got through my second slice halfway. The special part about Pequod's is its customization (you can even do half and half on the pizza to make everyone in the party happy). But because of this, they also take much longer. Thankfully I was not too hungry or else my patience would have truly been tested here. Although Pequod's is a bit further outside of Chicago, it's still worth the trek over here --but I'd definitely recommend coming here at odd hours to shorten the wait time.",8,0,positive
9,"During a weeklong work trip in Chicago, I knew my co-worker and I had to eat deep dish at one point during the week. I mentioned to our client that we were thinking of Lou Malnati's, and he basically persuaded us to go to Pequod's instead. In his words, ""Lou Malnati's is good; Pequod's is great.""We arrived around 8PM on a Tuesday, and the place was packed! We got a pager, sat outside to look at the menu, and our pager buzzed within a few minutes. Since it was just us 2, we decided on a small pan pizza with bell peppers and Canadian bacon as toppings (bell peppers were extra topping; Canadian bacon was half extra). Honestly I loved the fact that they offered half toppings because sometimes two people just can't get along! But in this case, my co-worker was vegetarian but I knew I needed some meat.I know there's nothing like Chicago deep dish, and this experience reiterated that. I did feel like the crust was a little thick, but it didn't really change what I thought about the pizza. The crust was AMAZING!! I looked forward to that extra crunch with every slice I ate (I only ate 2).We had zero regrets changing our plans from Lou Malnati's to Pequod's. The World Series was on, and it honestly felt like a place where the locals go. I would absolutely come here again!",7,1,positive
10,"Excellent pizza is completely irrelevant when the server lies to your table's face. One star reviews are automatic from me when a server blames the kitchen, or lies. In this case, it was both. We walked in when the host stand said 45 minutes for a pizza- we waited 80, and were given no apologies or anything from our server. We asked repeatedly when our pizza might be up, and were met with just shrugs and no empathy or apologies. She just told us that the wait time was over an hour for our pizzas. I didn't bother debating because there's really no point. Around the 60 minute mark, she began avoiding our table entirely. We asked for our checks before our pizza even came, because we had to be somewhere after dinner. At least she accommodated that.",1,1,negative
11,"Awesome deep dish pizza, atmosphere and if possible even better service!  Called ahead and although they do not take reservations will take priority seating.  Good news there, it cut our wait from 60 to 30 minutes.  Plenty of room next door at the Whale Tail for a drink before dinner.  Beeper so we knew when table was ready.  True Chicago style deep dish with a crisp bottom crust.  Delicious!  Staff was running but didn't miss a beat on low drinks and rapid refills.  Appreciated the management sign on graffiti on the walls but only added to the ambiance of a unique location!",4,0,positive
12,"To my knowledge there are pretty much three iconic Chicago foods, Italian beef, a Chicago hot dog and deep dish pizza.  Of the three, the pizza was the one I had the least interest in trying while we were in town vacationing.  I've had them in various forms before, at an Uno's franchise in NC, Lou Malnati's delivered frozen to cook at home.  You could argue that those are not ""original"" in one way or another but whatever...  I've always been underwhelmed.Still, when in Chicago it seemed somehow wrong not to get deep dish one day so after a Cub's comeback win at Wrigley we went to Pequod's which was my choice after much Yelp research and a couple sightings on Food Network.  The draw to me was the ring of caramelized cheese around the top of the crust.  What an awesome choice it was and not just because of the delicious cheesy ring.  The entire pizza was outstanding. The crust (thick but not too thick, crispy but not greasy) sausage and pepperoni (tasty and plenty of it) and sauce (just pure tomato goodness) made for a really, really good meal.  The ability to get personal sized pizzas made it easy for me to get the meat fest and my wife to get just cheese so no need to even compromise!I guess you can call me a convert and Pequod's gets all the credit.  Oh yeah, we had some buffalo wings before the pizza and they were good as well.",13,4,positive
13,"The last time I was in Chicago and had deep-dish pizza, I got food poisoning (thanks, Lou Malnati's!  Never again!)  But, my cousin really wanted to try some Chicago-style pizza while we were in town for the Chicago Marathon, so I acquiesced on the conditions that 1) we only ate the pizza AFTER the marathon and 2) we ate anywhere BUT Lou Malnati's.After doing some research, we settled on Pequod's and took a taxi over to Chicago's North Side to stuff our faces after finishing the race.  It was about 2 PM when we showed up and this place was PACKED!  Fortunately, we were able to grab a table for two immediately.  As an FYI: Pequod's bakes their pizzas from scratch, and since it's a pan pizza, it takes a bit longer to cook (about 40 minutes), so if you're HANGRY, it's better to call in your order ahead of time by phone.To stave off the runger, we ordered a sampler of their Appetizer Combo, which featured fried mushrooms, jalapeno poppers, mozzarella sticks, and fried zucchini bites.  I'm not gonna lie, this was pretty unremarkable and not worth writing about, but we were starving and needed something to tide us over til the pizza arrived.When our pizza pie finally got delivered, I could not WAIT to dig in!  Technically, pan pizza is different than deep-dish, but Pequod's pizza is still an experience you can really only find in Chicago.  It features a thick crust with slightly burnt edges (""caramelized,"" as the restaurant calls it) and layers of cheese and sauce, with your choice of toppings piled on (we chose sausage, pepperoni, mushrooms, and peppers).While my first experience with deep dish at Lou Malnati's left me unimpressed, I really enjoyed the pan pizza at Pequod's.  The crust was thick without being too doughy, and sturdy enough to hold up to all the sauce and cheese without becoming soggy.  The caramelized burnt edges added a nice crunchy texture.  The ingredients tasted fresh and they did NOT skimp on the amount of toppings!  The sauce tasted very tomatoey (in a good way) and not canned.Also, this pizza is FILLING.  Two hungry dudes who had just run 26.2 miles couldn't even finish all six slices of their medium sized pizza.  So come hungry, and bring plenty of friends!OVERALL: 4/5.  Skip the appetizers and go straight for their famous pan pizza.  It's rich, delicious, and worth every single calorie and clogged artery.  I'm sure both NYC and Chicago-style purists can agree that the pizza at Pequod's is darn good!",14,4,positive
14,"Ordered Pequod's for delivery to our hotel after a long day of traveling. They estimated 2 hours for delivery but it actually came in 1.5 hours which was nice. The pizza was just okay for me. I think I would like to try the thin crust next time. If I were a fan of deep dish, this would be great. They definitely don't skimp on the toppings which is nic",3,0,positive
15,"Detroit style pizza disguised as Chicago style pizza lol. Pizza is really good thought. Definitely five stars for sure. I called in my pizza and it still took every bit of one hour so be prepared to wait or call it in like I did. Price: They have an amazing lunch special for 5-6 bucks that comes with a drink. I mean that is such a steal! Really good quality pizza for less that ten dollars. It's very filling as well. I was completely full of the person loan pizza special. Food: they call it Chicago style pizza but this reminds me a lot of Detroit style pizza. When I think of Chicago pizza I think of Lou malnatis or Giordano's. Pequod's is a fusion of Chicago meets Detroit. The caramelized crust is something Detroit is know for. I don't think any other Chicago pizza place does their crust like this. I personally love it! Also the bread is very thick with just a little bit of cheese and sauce on top. Check mark  Detroit style pizza. The sauce is a little on the tangy side. Still really good. Glad I was able to get it.  Reminded me a lot of via 313 out of Austin Texas (via 313 is from Detroit) As of right star pizza in Houston Texas makes the best deep fish Chicago pizza I've ever had. The owners are from Chicago. Look them up. Also Windy City pizza in antascacita Texas is number 2. Owner is from Chicago. If you are ever in Houston, try those two out.",11,1,positive
16,"Came here as part of a Chicago pizza tour, was not disappointed. This is one of the 3 main styles of ""Chicago-style"" pizza (in order of thickness, thick to slim): Deep Dish, Pan, Tavern.The pizza here is pan.It's thick, but it's not ""wedding cake"" thick like some of the deep dish can be.The main star of this pizza was the sausage.  It was perfectly spiced.  It made you think ""what's in this?"" in a good way.Service was excellent and beer selection was above average.  Ambiance was like that of a normal, divey bar that has been around for a long time, which I liked.",6,1,positive
17,"When in Chicago, one MUST have deep dish. It just ain't right if you leave the city without tucking into their specialty.Since I've already had Lou Malnati's, I really wanted to try something different this time around. Some quick googling told me Pequod's was THE place for deep dish so off we went. The four of us showed up around lunchtime on a Saturday and were promptly seated. The space is like a no-frills divey bar filled with tchotchkes and old, worn booths. Staff was super friendly and really made us feel welcome.We ended up waiting about 45mins for a large pizza stuffed with pepperoni, sausage, olives, mushrooms and bell peppers. This baby was FILLING and the caramelized crust was amazing and so freakin' crispy! It was everything deep dish should be; gooey, hearty, and packed with fillings. Each of us ended up eating a slice and we took two to go. TL;DR Fantastic pizza. Just go.",6,1,positive
18,"When visiting Chicago, we visited quite a few Chicago pizza joints and Pequod's was by far our favorite. Pequod's is where the locals go is what we were told, which seemed very true once walking in. It's like your neighborhood sports bar. The pizza here is a pan pizza and not so much a stuffed pizza like some other places. It's got a thick crust with caramelized cheese on the edges, a very delightful sauce, and fresh toppings.  I absolutely loved every bite of this pizza and wish my hometown had something similar. If you're a local, I'm sure you already know about Pequod's. If you're a tourist, make sure you make Pequod's your first pizza stop.",6,0,positive
